source,target,weight,source_label,target_label
UCHTGCgY2l-DQJIvlA_cpa_Q,UCPZueDLrCS4BmTBRMA4q0fA,1,@virgiliogarcia3039,@kevinochoa3695
UCHTGCgY2l-DQJIvlA_cpa_Q,UCQ_-LPP8JAbfkc-b1Q6NvWw,1,@virgiliogarcia3039,@MegaKristenstewart
UCHTGCgY2l-DQJIvlA_cpa_Q,UCQgYjVngJRfPHDLGB5X6ZjA,1,@virgiliogarcia3039,@oscarnavas9996
UCHTGCgY2l-DQJIvlA_cpa_Q,UCQqetiwzzmRNTM5OWuXarGQ,1,@virgiliogarcia3039,@isaiaslopezvelasquez1539
UCHTGCgY2l-DQJIvlA_cpa_Q,UCQtICyzWmhC5woCtbNgaSmg,1,@virgiliogarcia3039,@nestormendez6216
UCHTGCgY2l-DQJIvlA_cpa_Q,UCQtSFINs1h6GHkpg9o5kMvg,1,@virgiliogarcia3039,@MacarioMartinezruiz
UCHTGCgY2l-DQJIvlA_cpa_Q,UCRETAiYdh2dL5ZxB0_N1zDA,1,@virgiliogarcia3039,@Joseroland21
UCHTGCgY2l-DQJIvlA_cpa_Q,UCRelkU8JiZBytTzebJxaa-w,1,@virgiliogarcia3039,@danyraymundo2942
UCHTGCgY2l-DQJIvlA_cpa_Q,UCRlCV9zSn7avAWh-9_XFWqQ,1,@virgiliogarcia3039,@ronyarana8849
UCHTGCgY2l-DQJIvlA_cpa_Q,UCSou6a2OuYGSvPjm5psquyA,1,@virgiliogarcia3039,@FranciscoRivera-sf7ne
UCHTGCgY2l-DQJIvlA_cpa_Q,UCTD6q1nyIe3Y7HhqjaMj72w,1,@virgiliogarcia3039,@JuanChang-r6k
UCHTGCgY2l-DQJIvlA_cpa_Q,UCTP3O0rMnc8z8v8jaDQwL0w,1,@virgiliogarcia3039,@RobertoZelaya-x1v
UCHTGCgY2l-DQJIvlA_cpa_Q,UCThW2XNsAaBKme5PUt7n-Zg,1,@virgiliogarcia3039,@thelmamoran8565
UCHTGCgY2l-DQJIvlA_cpa_Q,UCTwSut16JyAg3mX6LVUNGqA,1,@virgiliogarcia3039,@SuperVictor2005
UCHTGCgY2l-DQJIvlA_cpa_Q,UCTylKrsqkrBKIqubMu_5N0Q,1,@virgiliogarcia3039,@edwingeovanymarroquinmarro6684
UCHTGCgY2l-DQJIvlA_cpa_Q,UCUIIIPTVDVHAXqhC_5V6lPA,1,@virgiliogarcia3039,@gorrarota
UCHTGCgY2l-DQJIvlA_cpa_Q,UCV0iizTBoOfdAFX_thfI9BA,1,@virgiliogarcia3039,@BenjaminLarios-jd8nk
UCHTGCgY2l-DQJIvlA_cpa_Q,UCVQf0tzL7xRzFJsABVVULpg,1,@virgiliogarcia3039,@DennisseLopetegi
UCHTGCgY2l-DQJIvlA_cpa_Q,UCWIZUtKJ636y-4TYrNvok0g,1,@virgiliogarcia3039,@cesarandreas7824
UCHTGCgY2l-DQJIvlA_cpa_Q,UCXSkL3ejZ8qWYyF_M7s_QKA,1,@virgiliogarcia3039,@JacintaTzoy
UCHTGCgY2l-DQJIvlA_cpa_Q,UCXXh7yg5KUFIWylTiKVEFKQ,1,@virgiliogarcia3039,@MrDuenderojo
UCHTGCgY2l-DQJIvlA_cpa_Q,UCXgr7vXlRrsaskPdo097kGA,1,@virgiliogarcia3039,@Rogergh-nw4oj
UCHTGCgY2l-DQJIvlA_cpa_Q,UCXr8_5WtGeipe4haOoQDgyQ,1,@virgiliogarcia3039,@amyherrera7352
UCHTGCgY2l-DQJIvlA_cpa_Q,UCYN4wSQ1Sx4_LurxLlW7MPg,1,@virgiliogarcia3039,@belarminavillatoro6474
UCHTGCgY2l-DQJIvlA_cpa_Q,UCYwpX26TrCxq8TvbKGRYLXA,1,@virgiliogarcia3039,@beneficioelcaminovillacana8540
UCHTGCgY2l-DQJIvlA_cpa_Q,UCZ51R_9Q9C0c8I3pAWhtmjQ,1,@virgiliogarcia3039,@belvettzapeta1251
